Txhash,From,To,Value,Fee,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice,Method
0xd1b215874010f18a85b4b9d96ac9f4c7f7fb9e2b9789cefc143418541e449722,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40508E+14,5.80128E+12,2968.98,3063.19,3066.67,0x6fde4731
0x2d09e875bf5c84ed307793c4f8c5fec3104c9073a9bba72f0b05ee737b6e7d1a,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40522E+14,5.48613E+12,2968.98,3063.19,3066.67,0x6fde4731
0xdb2a3508b253998bbf6a1cf55d293c9dc54cadd0a725cddac971f5f1b02eda1f,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40482E+14,5.93698E+12,2968.98,3063.19,3066.67,0x6fde4731
0x0f41dd4191054d560992d334e042b8257c7d199d214d63433ba14172e216ed2e,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40508E+14,5.84525E+12,2968.98,3063.19,3066.67,0x6fde4731
0xb0d4696c2f224721b754209373c10f3a150079a8e9f0e901c9e0cada02180bf4,0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40619E+14,5.90735E+12,2968.98,3063.19,3066.67,0x6fde4731
0x576120067e62898606eee02f6c756aac12dc8e0d332260b65eb877c44faace55,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.39984E+14,5.48613E+12,2968.98,3063.19,3066.67,0x6fde4731
0x07d3bd884c012fdd2f0116ea7f9fa56db502f6a0d364222e01956aa6ab91d905,0x46f3cC6a1c00A5cD8864d2B92f128196CAE07D15,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.40083E+14,5.96125E+12,2968.98,3063.19,3066.67,0x6fde4731
0x903eeb17cd3f942cfcae5514c84cfb88f5ffe481fde8115c44ea856355525041,0xeebF48360C333407076F4a8191017Bd30a88af56,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.393E+14,5.94348E+12,2968.98,3063.19,3066.67,0x6fde4731
0xb43aa30fb16e58a67d47020f610fb4543edb2d548c625c0edcb7a36fd51ee8fc,0xeebF48360C333407076F4a8191017Bd30a88af56,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.39437E+14,5.60428E+12,2968.98,3063.19,3066.67,0x6fde4731
0x0901cf50785238363e30011d595edc375ff18bdc3e2ba67c06e9a19dca908bdf,0xeebF48360C333407076F4a8191017Bd30a88af56,0x8F5fc20f5a3e69B7DCc5AC477dCC4484C64897dA,3.39135E+14,5.48613E+12,2968.98,3063.19,3066.67,0x6fde4731
